	Date	Name	Text	Compound	Positive	Negative	Neutral	Tweets Ago
143	Mon Jun 11 02:56:10 +0000 2018	@CBS	Tony Shalhoub wins Best Leading Actor in a Musical. #TonyAwards   #TheBandsVisit https://t.co/KcUDSicKI5	0.836	0.467	0.533	0.0	144
142	Mon Jun 11 02:56:40 +0000 2018	@CBS	RT @_stobin13: watching the #TonyAwards after going to 3 broadway shows this weekend makes it even better 😍🤩	0.4404	0.153	0.847	0.0	143
141	Mon Jun 11 02:58:30 +0000 2018	@CBS	"RT @CBSThisMorning: Hmm... something seems off here @SaraBareilles @JoshGroban. 😂

@WaitressMusical @GreatCometBway #TonyAwards https://t.c…"	0.0	0.0	1.0	0.0	142
140	Mon Jun 11 03:02:06 +0000 2018	@CBS	Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH	0.92	0.463	0.537	0.0	141
139	Mon Jun 11 03:10:33 +0000 2018	@CBS	An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH	0.8478	0.406	0.594	0.0	140
119	Mon Jun 11 03:10:33 +0000 2018	@CBS	An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH	0.8478	0.406	0.594	0.0	120
138	Mon Jun 11 06:04:41 +0000 2018	@CBS	See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej	0.4767	0.22	0.78	0.0	139
118	Mon Jun 11 06:04:41 +0000 2018	@CBS	See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej	0.4767	0.22	0.78	0.0	119
137	Mon Jun 11 06:19:36 +0000 2018	@CBS	Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r	0.0	0.0	1.0	0.0	138
117	Mon Jun 11 06:19:36 +0000 2018	@CBS	Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r	0.0	0.0	1.0	0.0	118
136	Mon Jun 11 14:00:37 +0000 2018	@CBS	How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT	0.0	0.0	1.0	0.0	137
116	Mon Jun 11 14:00:37 +0000 2018	@CBS	How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT	0.0	0.0	1.0	0.0	117
135	Mon Jun 11 19:01:38 +0000 2018	@CBS	In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa	-0.296	0.0	0.833	0.167	136
115	Mon Jun 11 19:01:38 +0000 2018	@CBS	In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa	-0.296	0.0	0.833	0.167	116
114	Mon Jun 11 22:23:06 +0000 2018	@CBS	RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…	0.5093	0.171	0.829	0.0	115
134	Mon Jun 11 22:23:06 +0000 2018	@CBS	RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…	0.5093	0.171	0.829	0.0	135
108	Mon Jun 18 15:00:46 +0000 2018	@CBS	RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…	0.0	0.0	1.0	0.0	109
128	Mon Jun 18 15:00:46 +0000 2018	@CBS	RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…	0.0	0.0	1.0	0.0	129
107	Mon Jun 18 20:27:50 +0000 2018	@CBS	Time to make your predictions for #BB20! 👏 Get to know the @CBSBigBrother Houseguests before the big premiere next… https://t.co/jlpIchJ9sk	0.0	0.0	1.0	0.0	108
127	Mon Jun 18 20:27:50 +0000 2018	@CBS	Time to make your predictions for #BB20! 👏 Get to know the @CBSBigBrother Houseguests before the big premiere next… https://t.co/jlpIchJ9sk	0.0	0.0	1.0	0.0	128
99	Mon Jun 25 13:03:07 +0000 2018	@BBC	"🐶😍 They're all beautiful in our eyes! 
#WorldsUgliestDog https://t.co/qrQgVqtwt4"	0.636	0.344	0.656	0.0	100
98	Mon Jun 25 13:48:41 +0000 2018	@BBC	"RT @bbcarts: If you’re from the North this will make you well up with pride. ❤️
@lemnsissay delivers an impassioned reading of the poem he…"	0.5423	0.164	0.836	0.0	99
97	Mon Jun 25 14:57:32 +0000 2018	@BBC	RT @BBCTwo: brb just gonna pop inside for some fresh air... ☀️😰 https://t.co/rlTBirEDF2	0.3182	0.161	0.839	0.0	98
96	Mon Jun 25 15:01:34 +0000 2018	@BBC	RT @BBCTwo: SO much tension between Louis and the Queen! 😬👑🇫🇷 #Versailles https://t.co/mT2tDG3Hen	-0.5524	0.0	0.771	0.229	97
95	Mon Jun 25 16:02:03 +0000 2018	@BBC	"🙌😂 Well, that escalated quickly.
#HearHer #LiveAtTheApollo  https://t.co/4Bfa81zCSI"	0.2732	0.231	0.769	0.0	96
94	Mon Jun 25 17:31:08 +0000 2018	@BBC	Two teams of junior doctors from teaching hospitals around Britain go head to head in a medical-themed quiz show. 🏥… https://t.co/1z99Ax1RcK	0.0	0.0	1.0	0.0	95
93	Mon Jun 25 18:03:04 +0000 2018	@BBC	✨ These women are ditching their straighteners and embracing their natural hair. https://t.co/BTgEiHth2E	0.3612	0.185	0.815	0.0	94
102	Mon Jun 25 18:20:25 +0000 2018	@CBS	The world will finally know the truth. ☄️ Make sure to tune in to the heart-pounding Season 2 premiere of… https://t.co/mqMleW90DY	0.5574	0.204	0.796	0.0	103
122	Mon Jun 25 18:20:25 +0000 2018	@CBS	The world will finally know the truth. ☄️ Make sure to tune in to the heart-pounding Season 2 premiere of… https://t.co/mqMleW90DY	0.5574	0.204	0.796	0.0	123
196	Sat Jun 09 16:00:00 +0000 2018	@CBS	Here's everything you need to know before watching the #TonyAwards this Sunday at 8/7c: https://t.co/jcRgNGmLUZ https://t.co/8suUhVPFK6	0.0	0.0	1.0	0.0	197
195	Sat Jun 09 21:00:02 +0000 2018	@CBS	These two know a thing or two about awards! Watch them light up the stage tomorrow at the #TonyAwards. ✨ https://t.co/KHVZp65oLS	0.5093	0.155	0.845	0.0	196
299	Sat Jun 30 00:57:38 +0000 2018	@CNN	Democrats are about to fight like crazy | By Paul Begala via @CNNOpinion https://t.co/00P2ZmSuqL https://t.co/QtqQUbVOWD	-0.3612	0.135	0.595	0.27	300
298	Sat Jun 30 01:00:50 +0000 2018	@CNN	The prank call with President Donald Trump that a comedian claims he partook in while pretending to be Sen. Bob Men… https://t.co/qRSzz7C9qL	0.4588	0.174	0.826	0.0	299
297	Sat Jun 30 01:01:59 +0000 2018	@CNN	"RT @AC360: ""He understood that the key to success as a human being and certainly to success as a journalist is to remember your humanity,""…"	0.8689	0.329	0.671	0.0	298
296	Sat Jun 30 01:09:05 +0000 2018	@CNN	7 days in the dark: How the Thailand cave search unfolded https://t.co/IGRIAFQC1r https://t.co/fjLdvVOxoj	0.0	0.0	1.0	0.0	297
295	Sat Jun 30 01:20:06 +0000 2018	@CNN	A man was arrested in Los Angeles on charges of threatening to murder the family of FCC Chairman Ajit Pai, accordin… https://t.co/hP77xGllJ3	-0.9231	0.0	0.561	0.439	296
294	Sat Jun 30 01:27:08 +0000 2018	@CNN	"RT @AC360: In response to a shooting at a Maryland newspaper, President Trump said that journalists should not have to worry about being ""v…"	0.3412	0.103	0.897	0.0	295
293	Sat Jun 30 01:27:28 +0000 2018	@CNN	"RT @AC360: President Trump removing US troops from Germany ""would be an amazing Christmas in July present for Putin,"" says Council on Forei…"	0.5859	0.147	0.853	0.0	294
